id,title,content,videoUrl,duration,order,sectionId,createdAt
581a2d7a-d828-4116-923a-7211cc02113d,Introduction to Databases and SQL,"In this lesson, you'll learn about introduction to databases and sql. This comprehensive video covers key concepts and practical applications.",,17,1,1bf2aa2e-b8b1-4302-9e53-eed3ea696d4e,2026-02-12T13:38:21.516956
c3add716-8c42-4e2b-a2ce-f0704e93a93e,SELECT Statements and Basic Queries,"In this lesson, you'll learn about select statements and basic queries. This comprehensive video covers key concepts and practical applications.",,14,2,1bf2aa2e-b8b1-4302-9e53-eed3ea696d4e,2026-02-12T13:38:21.516956
315a3bbc-5718-4ef2-9e68-5b840327bdd9,JOINs: Combining Data from Multiple Tables,"In this lesson, you'll learn about joins: combining data from multiple tables. This comprehensive video covers key concepts and practical applications.",,17,1,51a73410-a0d0-48bb-b445-61fffbace558,2026-02-12T13:38:21.516956
beb1ea87-06a8-44e9-967c-bb8138d998f6,Aggregate Functions and GROUP BY,"In this lesson, you'll learn about aggregate functions and group by. This comprehensive video covers key concepts and practical applications.",,16,2,51a73410-a0d0-48bb-b445-61fffbace558,2026-02-12T13:38:21.516956
939dca4d-9e18-4600-b1a9-afabe2f30dc2,Installing Python and Setting Up Your Environment,"In this lesson, you'll learn about installing python and setting up your environment. This comprehensive video covers key concepts and practical applications.",,17,1,91a526bd-dca3-49ba-ad06-98a677c78258,2026-02-12T13:38:21.516956
05d51948-e51b-4359-800f-488b856f91bf,"Variables, Data Types, and Operators","In this lesson, you'll learn about variables, data types, and operators. This comprehensive video covers key concepts and practical applications.",,12,2,91a526bd-dca3-49ba-ad06-98a677c78258,2026-02-12T13:38:21.516956
c3768aff-52e1-4a96-9352-724cd93e01de,Introduction to Classes and Objects,"In this lesson, you'll learn about introduction to classes and objects. This comprehensive video covers key concepts and practical applications.",,20,1,61b0257f-9f3e-4d81-98e2-9c91ba4f2f3c,2026-02-12T13:38:21.516956
1bbc2a1f-9522-42cf-ac6f-4e37c27b5c68,Inheritance and Polymorphism,"In this lesson, you'll learn about inheritance and polymorphism. This comprehensive video covers key concepts and practical applications.",,6,2,61b0257f-9f3e-4d81-98e2-9c91ba4f2f3c,2026-02-12T13:38:21.516956
bf17731e-a343-43c9-b295-2ecdd5573987,Understanding Musical Notation,"In this lesson, you'll learn about understanding musical notation. This comprehensive video covers key concepts and practical applications.",,16,1,894e6649-9809-49de-8ab2-a1b1e4934df8,2026-02-12T13:38:21.516956
34826f84-1a33-4498-b265-d1b320e6839b,"Notes, Scales, and Keys","In this lesson, you'll learn about notes, scales, and keys. This comprehensive video covers key concepts and practical applications.",,20,2,894e6649-9809-49de-8ab2-a1b1e4934df8,2026-02-12T13:38:21.516956
93494706-2989-4d33-80b5-af95d4fc20c7,Chord Progressions,"In this lesson, you'll learn about chord progressions. This comprehensive video covers key concepts and practical applications.",,6,1,b5d3fb33-86fe-46e7-811a-ddf3fc6703cc,2026-02-12T13:38:21.516956
fdb1f6c6-b9d7-49df-b57e-7c50b7758216,Song Structure and Form,"In this lesson, you'll learn about song structure and form. This comprehensive video covers key concepts and practical applications.",,20,2,b5d3fb33-86fe-46e7-811a-ddf3fc6703cc,2026-02-12T13:38:21.516956
8dde6731-c08a-4de1-abd3-9ff365c9f242,"Macronutrients: Proteins, Carbs, and Fats","In this lesson, you'll learn about macronutrients: proteins, carbs, and fats. This comprehensive video covers key concepts and practical applications.",,8,1,236d6411-32e1-42fc-992c-3004c012ad5b,2026-02-12T13:38:21.516956
e8c7af6d-eab5-4b2f-a22c-f36c7614e5cd,Micronutrients: Vitamins and Minerals,"In this lesson, you'll learn about micronutrients: vitamins and minerals. This comprehensive video covers key concepts and practical applications.",,11,2,236d6411-32e1-42fc-992c-3004c012ad5b,2026-02-12T13:38:21.516956
0688bd96-4f6d-46bf-8eb8-e2af0f840d8c,Meal Planning and Prep Strategies,"In this lesson, you'll learn about meal planning and prep strategies. This comprehensive video covers key concepts and practical applications.",,16,1,11c88d92-1ab6-4aef-925c-ba0710e66fa4,2026-02-12T13:38:21.516956
2ae8065f-8455-409c-b317-d59cbbe0e7d4,Balanced Plate Method,"In this lesson, you'll learn about balanced plate method. This comprehensive video covers key concepts and practical applications.",,15,2,11c88d92-1ab6-4aef-925c-ba0710e66fa4,2026-02-12T13:38:21.516956
4580c3b0-87fc-47f5-a706-b6860f985e7b,Procreate Interface Overview,"In this lesson, you'll learn about procreate interface overview. This comprehensive video covers key concepts and practical applications.",,16,1,d04c9ea5-0702-4454-adeb-d4216bcae585,2026-02-12T13:38:21.516956
b2d551f6-6c10-4e13-8dd7-d4d1aebb09a7,Brushes and Brush Settings,"In this lesson, you'll learn about brushes and brush settings. This comprehensive video covers key concepts and practical applications.",,15,2,d04c9ea5-0702-4454-adeb-d4216bcae585,2026-02-12T13:38:21.516956
a962e4e2-cbdc-4587-a0f9-9a96762aa344,Drawing and Sketching Fundamentals,"In this lesson, you'll learn about drawing and sketching fundamentals. This comprehensive video covers key concepts and practical applications.",,14,1,2a8008a4-027d-4cd8-bd27-11c78174e870,2026-02-12T13:38:21.516956
66a03395-e195-46bc-aa75-e771bad6e599,Shading and Lighting,"In this lesson, you'll learn about shading and lighting. This comprehensive video covers key concepts and practical applications.",,13,2,2a8008a4-027d-4cd8-bd27-11c78174e870,2026-02-12T13:38:21.516956
8dcaf4a7-69d3-4975-94cf-3c7767516118,Excel Fundamentals for Finance,"In this lesson, you'll learn about excel fundamentals for finance. This comprehensive video covers key concepts and practical applications.",,6,1,8f7ceae8-a7ce-4151-9e2d-b8ff23f5aac2,2026-02-12T13:38:21.516956
7a8f7d3e-c7ea-4989-ba7f-ea8aa3cf3087,Financial Formulas and Functions,"In this lesson, you'll learn about financial formulas and functions. This comprehensive video covers key concepts and practical applications.",,12,2,8f7ceae8-a7ce-4151-9e2d-b8ff23f5aac2,2026-02-12T13:38:21.516956
6f1f2e49-d3e4-4e57-acd8-a9bd3c1ddc42,DCF Valuation Models,"In this lesson, you'll learn about dcf valuation models. This comprehensive video covers key concepts and practical applications.",,19,1,639751e0-e81e-48ff-9a09-ef7cde52ead0,2026-02-12T13:38:21.516956
bcdad0ca-16d9-40e4-8ca4-fac35f07a543,Scenario and Sensitivity Analysis,"In this lesson, you'll learn about scenario and sensitivity analysis. This comprehensive video covers key concepts and practical applications.",,9,2,639751e0-e81e-48ff-9a09-ef7cde52ead0,2026-02-12T13:38:21.516956
054bafe6-397e-4022-b632-68f9506dee40,Introduction to User-Centered Design,"In this lesson, you'll learn about introduction to user-centered design. This comprehensive video covers key concepts and practical applications.",,13,1,58c6fceb-7518-4917-a7bf-16d073cb15db,2026-02-12T13:38:21.516956
d4a552dd-b916-4a56-8323-8de8978ecadc,User Research Methods,"In this lesson, you'll learn about user research methods. This comprehensive video covers key concepts and practical applications.",,19,2,58c6fceb-7518-4917-a7bf-16d073cb15db,2026-02-12T13:38:21.516956
72b921a9-d568-41d8-aa33-6a451aaa81dc,Visual Hierarchy and Layout,"In this lesson, you'll learn about visual hierarchy and layout. This comprehensive video covers key concepts and practical applications.",,13,1,ea9c0cb5-dee4-4a67-ac48-07fba94f897f,2026-02-12T13:38:21.516956
